ncaa_name,espn_name,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference,ID
Saint Francis (PA),St Francis (PA),#BD1F25,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint_Francis_Red_Flash_logo.svg/320px-Saint_Francis_Red_Flash_logo.svg.png,NA,NEC,1384
Saint Joseph's,Saint Joe's,#9E1B32,#6C6F70,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Saint_Joseph%27s_Hawks_logo.svg/320px-Saint_Joseph%27s_Hawks_logo.svg.png,NA,A-10,1386
Saint Louis,Saint Louis,#003DA5,#C8C9C7,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Saint_Louis_Billikens_logo.svg/249px-Saint_Louis_Billikens_logo.svg.png,NA,A-10,1387
Saint Mary's (CA),Saint Mary's,#D80024,#06315B,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Saint_Mary%27s_College_Gaels_logo.svg/300px-Saint_Mary%27s_College_Gaels_logo.svg.png,NA,WCC,1388
Saint Peter's,St Peter's,#003C71,#0072CE,#A59C94,#000000,NA,NA,https://upload.wikimedia.org/wikipedia/en/9/97/Saint_Peter%27s_Peacocks_logo.svg,NA,MAAC,1389
Sam Houston St.,Sam Houston,#F78E1E,#004990,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/d/de/SHSU_athletics_logo.svg,NA,WAC,1358
Samford,Samford,#C4161D,#002649,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/320px-Samford_Bulldogs_logo.svg.png,NA,Southern,1359
San Diego,San Diego,#002868,#84BCE8,#207BC1,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/7/7e/San_Diego_Toreros_logo.svg,NA,WCC,1360
San Diego St.,San Diego State,#A6192E,#000000,#FFFFFF,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/San_Diego_State_Aztecs_logo.svg/320px-San_Diego_State_Aztecs_logo.svg.png,NA,MWC,1361
San Francisco,San Francisco,#FDBB30,#00543C,#919194,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/San_Francisco_Dons_logo.svg/200px-San_Francisco_Dons_logo.svg.png,NA,WCC,1362
San Jose St.,San Jose State,#0055A2,#E5A823,#939597,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/San_Jose_State_Spartans_logo.svg/233px-San_Jose_State_Spartans_logo.svg.png,NA,MWC,1363
Santa Clara,Santa Clara,#862633,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Santa_Clara_Broncos_logo.svg/185px-Santa_Clara_Broncos_logo.svg.png,NA,WCC,1365
Seattle U,Seattle,#AA0000,#333333,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Seattle_Redhawks_logo.svg/214px-Seattle_Redhawks_logo.svg.png,NA,WAC,1370
Seton Hall,Seton Hall,#004488,#A2AAAD,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Seton_Hall_Pirates_logo.svg/236px-Seton_Hall_Pirates_logo.svg.png,NA,Big East,1371
